Wavelength Spectrum:
Wavelength: -3.60e-03 m, Magnitude: 0.49999999999923483
Wavelength: 1.80e-03 m, Magnitude: 0.5000000006848467
Wavelength: 7.20e-04 m, Magnitude: 0.5000000027411524
Wavelength: 4.50e-04 m, Magnitude: 0.5000000061683559
Wavelength: 3.27e-04 m, Magnitude: 0.5000000109663686
Wavelength: 2.57e-04 m, Magnitude: 0.5000000171353911
Wavelength: 2.12e-04 m, Magnitude: 0.500000024675137
Wavelength: 1.80e-04 m, Magnitude: 0.5000000335858755
Wavelength: 1.56e-04 m, Magnitude: 0.5000000438674165
Wavelength: 1.38e-04 m, Magnitude: 0.5000000555197541
Wavelength: 1.24e-04 m, Magnitude: 0.5000000685429861
Wavelength: 1.12e-04 m, Magnitude: 0.5000000829373149
Wavelength: 1.03e-04 m, Magnitude: 0.5000000987022127
Wavelength: 9.47e-05 m, Magnitude: 0.5000001158382072
Wavelength: 8.77e-05 m, Magnitude: 0.5000001343448914
Wavelength: 8.18e-05 m, Magnitude: 0.5000001542225333
Wavelength: 7.65e-05 m, Magnitude: 0.5000001754710696
Wavelength: 7.20e-05 m, Magnitude: 0.5000001980906869
Wavelength: 6.79e-05 m, Magnitude: 0.5000002220807469
Wavelength: 6.42e-05 m, Magnitude: 0.5000002474419479
Wavelength: 6.10e-05 m, Magnitude: 0.5000002741743182
Wavelength: 5.80e-05 m, Magnitude: 0.500000302277236
Wavelength: 5.53e-05 m, Magnitude: 0.5000003317508902
Wavelength: 5.29e-05 m, Magnitude: 0.5000003625957536
Wavelength: 5.07e-05 m, Magnitude: 0.5000003948112394
Wavelength: 4.86e-05 m, Magnitude: 0.500000428397696
Wavelength: 4.67e-05 m, Magnitude: 0.5000004633550128
Wavelength: 4.50e-05 m, Magnitude: 0.5000004996833418
Wavelength: 4.33e-05 m, Magnitude: 0.500000537382284
Wavelength: 4.18e-05 m, Magnitude: 0.5000005764522523
Wavelength: 4.04e-05 m, Magnitude: 0.5000006168931456
Wavelength: 3.91e-05 m, Magnitude: 0.5000006587048237
Wavelength: 3.79e-05 m, Magnitude: 0.5000007018871964
Wavelength: 3.67e-05 m, Magnitude: 0.5000007464406822
Wavelength: 3.56e-05 m, Magnitude: 0.500000792365223
Wavelength: 3.46e-05 m, Magnitude: 0.50000083966035
Wavelength: 3.36e-05 m, Magnitude: 0.5000008883265897
Wavelength: 3.27e-05 m, Magnitude: 0.5000009383637021
Wavelength: 3.18e-05 m, Magnitude: 0.5000009897715348
Wavelength: 3.10e-05 m, Magnitude: 0.5000010425503552
Wavelength: 3.02e-05 m, Magnitude: 0.5000010967002276
Wavelength: 2.95e-05 m, Magnitude: 0.5000011522208001
Wavelength: 2.88e-05 m, Magnitude: 0.5000012091121963
Wavelength: 2.81e-05 m, Magnitude: 0.5000012673744685
Wavelength: 2.75e-05 m, Magnitude: 0.5000013270078282
Wavelength: 2.68e-05 m, Magnitude: 0.5000013880119191
Wavelength: 2.63e-05 m, Magnitude: 0.5000014503869858
Wavelength: 2.57e-05 m, Magnitude: 0.5000015141328882
Wavelength: 2.52e-05 m, Magnitude: 0.500001579249705
Wavelength: 2.46e-05 m, Magnitude: 0.5000016457375092
Wavelength: 2.41e-05 m, Magnitude: 0.5000017135960384
Wavelength: 2.37e-05 m, Magnitude: 0.5000017828255179
Wavelength: 2.32e-05 m, Magnitude: 0.5000018534260038
Wavelength: 2.28e-05 m, Magnitude: 0.500001925397357
Wavelength: 2.23e-05 m, Magnitude: 0.5000019987395189
Wavelength: 2.19e-05 m, Magnitude: 0.5000020734526032
Wavelength: 2.15e-05 m, Magnitude: 0.5000021495367412
Wavelength: 2.12e-05 m, Magnitude: 0.5000022269915357
Wavelength: 2.08e-05 m, Magnitude: 0.5000023058174023
Wavelength: 2.04e-05 m, Magnitude: 0.5000023860141278
Wavelength: 2.01e-05 m, Magnitude: 0.5000024675817659
Wavelength: 1.98e-05 m, Magnitude: 0.5000025505200975
Wavelength: 1.94e-05 m, Magnitude: 0.5000026348297016
Wavelength: 1.91e-05 m, Magnitude: 0.5000027205100458
Wavelength: 1.88e-05 m, Magnitude: 0.5000028075612281
Wavelength: 1.85e-05 m, Magnitude: 0.5000028959833769
Wavelength: 1.83e-05 m, Magnitude: 0.5000029857766516
Wavelength: 1.80e-05 m, Magnitude: 0.5000030769406654
Wavelength: 1.77e-05 m, Magnitude: 0.5000031694754397
Wavelength: 1.75e-05 m, Magnitude: 0.5000032633812307
Wavelength: 1.72e-05 m, Magnitude: 0.5000033586580751
Wavelength: 1.70e-05 m, Magnitude: 0.5000034553056878
Wavelength: 1.67e-05 m, Magnitude: 0.50000355332458
Wavelength: 1.65e-05 m, Magnitude: 0.5000036527136995
Wavelength: 1.63e-05 m, Magnitude: 0.5000037534744284
Wavelength: 1.61e-05 m, Magnitude: 0.5000038556060991
Wavelength: 1.58e-05 m, Magnitude: 0.5000039591085281
Wavelength: 1.56e-05 m, Magnitude: 0.5000040639816277
